Timestamp,Full Name,Email Address,Stellar Wallet Address,Rate our product (1-5),Product Feedback
6/28/2026 3:16:42 AM,Maria Santos,maria.santos92@gmail.com,GIM7GPNSKVTT6LCBWPPD2K7SWJZCSZA6S7YJU6K5BCAZ2SBZGC5Q6V6T,5,The gasless payments feature saved our class project budget since no one needed to buy extra XLM for fees.
6/27/2026 6:17:55 AM,Alexander Wright,alexander.wright@outlook.com,GYAHXS5AED6GU4U2T6TBZQQA2PN5LTGV52VUAR3FBAF2LLT2PQJQIQWZ,4,The GCash offramp makes transferring our collected group funds straight to my digital wallet effortless.
6/26/2026 9:40:27 AM,Sophia Chen,sophia.chen88@gmail.com,GLCWGCKFSZL2M32Q5JPAI5WE7ZEQWQLI6GTWE2DPKBV7BP5G7KVJAJHZ,5,Creating a split bill for our graduation dinner was seamless and took less than two minutes.
6/27/2026 5:23:24 PM,Juan Dela Cruz,juan.delacruz@yahoo.com,G4B2PYPFPBJYFGBCQZ3RPMERP3TT4AXJLWJLMEYW2DKQCJ2YURIWAJRE,5,The automated reminders helped us collect all student dues on time without awkward personal messaging.
6/27/2026 2:33:53 AM,Carlos Mendoza,carlos.mendoza.ph@gmail.com,G5BFTRGVRUEY4GYBMS3IVFKK33ENT65KPUNCWPSCCI7H7G3FDJI7CKGS,5,Instant settlement on Stellar gave everyone immediate proof of payment during our club fundraiser.
6/25/2026 10:23:46 PM,Emily Johnson,emily.johnson77@outlook.com,G7VCSFJUPJATSYPYWJBE6UY4Z4UYUUV3XJ2B6TUAASKFJSZTGURKGKEC,5,The multi-currency support is amazing for accepting payments from exchange students in different tokens.
6/26/2026 6:20:53 PM,Mark Anthony Reyes,mark.reyes.dev@gmail.com,GIFAU6WTDX3FBNU6AQ2RQKPBLNAD7PXHKENKJU6PFRCGZMJPG5LQB4UN,5,I love the gasless payments integration; students don't get stuck on gas fee friction anymore.
6/26/2026 3:37:14 PM,Hannah Taylor,hannah.taylor94@gmail.com,G62FCVPRJRNHDI25DRULJCZZFTEPGXLDDIPSBKSFL4PYIM7RUDWA45DZ,5,With the GCash offramp
6/30/2026 4:00:11 AM,Gabriel Ramos,gabriel.ramos@yahoo.com,GCCNACFUXH34HGBHBZDMHGBCP3DIEYPSLZQFMXMQLTUWAYUGSVKPQVSJ,5,The split bill feature made splitting our project software licenses completely hassle-free.
6/26/2026 6:54:59 PM,Angela Cruz,angela.cruz2026@gmail.com,G7R3R4MP5MYGP724MJHWEIUD5HXV4DB77JDPR3VISKJCP52HGRTCIHYD,5,Automated reminders kept our project team accountable without anyone having to manually nag.
6/26/2026 6:16:37 PM,James Wilson,j.wilson85@outlook.com,GPBR5I4PATUYXNCUC47V4VYP3BGGVGCPNIRPQDLP45HLHL3LAG5DKEVR,5,Having instant settlement on-chain means no more waiting days for bank transfer confirmations.
6/25/2026 10:38:16 PM,Paolo Garcia,paolo.garcia@gmail.com,GT54WEYTDV3WXPHNTNXP7WL5TEX5T7WXQ7FHCIXPVJGAYDZSRHFILNIQ,5,The multi-currency support allowed our international study group to pool funds effortlessly.
6/26/2026 7:37:00 PM,Oliver Smith,oliver.smith.ac@gmail.com,GVEG4SZQ3LJQBVTP4BCQP2FZB44PQSSZQVLCKWZ7PJHZTJ7I4FSBA7UM,5,Gasless payments make this dApp feel as smooth as a standard web2 mobile banking application.
6/29/2026 11:41:20 PM,Sofia Gonzales,sofia.gonzales@yahoo.com,GWWYKZ5Z6KPJAZBK6MBX4PQ7RJH4Q2GVKXZH4MEXAUYXN3RSLFSNCQXL,5,Direct GCash offramp capabilities make crypto payments practical for everyday college expenses.
6/27/2026 11:26:34 PM,Charlotte Brown,charlotte.brown@outlook.com,GAKPKELHXG5SXCZJBETZNWP32CAWDRUG3N6ZCIKW5MXAEJDIJJTP6A5C,5,Our dorm room split bill was calculated perfectly
6/28/2026 5:01:36 PM,Benjamin Davis,ben.davis.edu@gmail.com,GAXPHIPE4N45JSDDWNHEPZK7IVQQPKL4ZAGKG2P3GPPW5WWELHALV3SL,5,Setting up automated reminders ensured everyone paid their share before the project deadline.
6/26/2026 8:57:42 PM,Katrina Lorenzo,katrina.lorenzo@gmail.com,GPFZEP3AVB7SBXIGJEHEDHHKF54WPIAAGXIQF6AKGDXMVZ3SBSNC54PJ,5,Instant settlement is super satisfying to watch on the real-time funding progress bar.
6/24/2026 8:49:20 AM,Emma Jones,emma.jones91@yahoo.com,GAFL2XDG44TAS7S74H562RM6CLMBCV5ICJLF2DUEY5NZDG6M2RDPZMQD,5,Multi-currency support gives us flexibility when organizing multi-college events with various assets.
6/29/2026 3:11:06 AM,Mateo Bautista,mateo.bautista@gmail.com,GPDR7LMDBAKPICPRGAM6JEF47LJPX44IFWDLBPTAJSNRLRHR32GWLVJY,5,No extra transaction fees thanks to gasless payments—this is a game changer for university students.
6/29/2026 3:33:53 PM,Daniel Evans,daniel.evans@outlook.com,GQI5P3SMR3M42XKAVSNAB3E4PW5ZMJLGQFPMV4A3F3THWMDZNUP3SEGY,5,The GCash offramp is fast and dependable when converting pooled XLM to Philippine Pesos.
6/29/2026 3:42:24 AM,Bea Alonzo Castillo,bea.castillo@gmail.com,GCRIWZFFQA4IPS4KWLNECKAUSNKEHP5PRNRNEUFPZSLBUA4ESUZBBPSA,5,Using KlassPay to split bill costs for our hackathon entry fee was extremely smooth.
6/28/2026 5:58:00 AM,Mia Thomas,mia.thomas.design@gmail.com,GR5VW2QHNRLC2HCR6Z3Q3NXSQ26E4V5L2QP3EHNSMU4MVPXWR24WTXF2,5,Automated reminders eliminated all the hassle of chasing group members for cash.
